"время, с","x, м","y, м","z, м"
0.0,6800000.0,55.0,60.0
100.0,6756953.506371451,58.161657262995014,764062.2984772427
200.0,6628324.49593727,50.94232131290362,1518386.2955122564
300.0,6415766.842469332,45.88243672681078,2253496.156222247
400.0,6121953.498594117,46.38353595466428,2960062.234843741
500.0,5750631.282990254,44.960002980826935,3629136.2871546214
600.0,5306479.295500947,45.4131335699094,4252257.917081378
700.0,4795144.065378427,44.97211470376416,4821526.794058433
800.0,4223066.3592563635,40.36747812858895,5329745.222165616
900.0,3597531.434841796,37.23829328568521,5770474.728818384
1000.0,2926428.5380362044,23.291827341276864,6138129.730559572
1100.0,2218260.7231097072,8.41018351845285,6428061.733098497
1200.0,1482007.30836191,5.2184588647771015,6636581.330566469
1300.0,726989.805392637,-0.37988420333686523,6761061.48857352
1400.0,-37227.133434213116,6.27991967664093,6799930.521092189
1500.0,-800982.3543267692,-8.823729937579293,6752702.845912112
1600.0,-1554581.3674970753,-17.027703397827672,6619950.237362007
1700.0,-2288507.8421702934,-28.312289481635673,6403365.853217807
1800.0,-2993453.1767735616,-32.922355341811176,6105686.36488823
1900.0,-3660472.566476637,-38.644183888609604,5730700.608344064
2000.0,-4281165.633322012,-43.13165301613388,5283130.134587955
2100.0,-4847619.266759446,-45.63452826119273,4768678.53224284
2200.0,-5352694.3842674205,-51.924282097170725,4193817.1270798016
2300.0,-5789980.7032950055,-52.99483517385863,3565871.70368331
2400.0,-6153949.1121566165,-56.692580908925976,2892744.439955074
2500.0,-6439985.45396877,-59.18712369318829,2182997.6888274895
2600.0,-6644473.13109245,-52.665439550325644,1445610.7198697464
2700.0,-6764813.4299855605,-45.395643091371745,689907.7343775291
2800.0,-6799461.179190482,-60.06191623726899,-74541.21079829946
2900.0,-6748018.223145785,-48.25643696259392,-838032.9534605742
3000.0,-6611129.650301079,-50.549303292778724,-1590914.6830238665
3100.0,-6390501.962881875,-45.84604173004116,-2323643.014349734
3200.0,-6088924.573650366,-45.667111593692404,-3026945.118805479
3300.0,-5710259.400395889,-43.285220884642534,-3691924.630892173
3400.0,-5259263.305061135,-43.71792125163332,-4310135.97351082
3500.0,-4741678.731250991,-31.634001754144585,-4873766.382081668
3600.0,-4164016.9035490192,-37.19029628751319,-5375653.279590127
3700.0,-3533633.0217835642,-26.162618522976704,-5809475.7572899405
3800.0,-2858500.4219427607,-18.646543293527383,-6169725.397259988
3900.0,-2147168.902198405,-26.755484255170124,-6451825.740505915
4000.0,-1408626.9212921693,-15.528054374880597,-6652223.986736975
4100.0,-652247.1957672402,-9.484756354953738,-6768378.550421534
4200.0,112389.45985658628,1.4047693474854048,-6798789.960079156
4300.0,875591.4176821598,15.970048610595562,-6743105.782701476
4400.0,1627719.2742794869,12.127139610007202,-6602027.921020224
4500.0,2359217.2552065346,15.803556615372159,-6377314.922734007
4600.0,3060848.142744187,25.258837423692338,-6071856.85343368
4700.0,3723696.722750904,28.561413964103078,-5689470.053168489
4800.0,4339407.417108025,34.937309879558015,-5235058.987308132
4900.0,4900132.202327561,41.0392679110267,-4714327.6836901
5000.0,5398821.3457226,37.223861971375634,-4133883.5868493817
